"Year","Country Name","Region","EF_2018 Score","EF1_Rule of law","EF1_1_Property Rights","EF1_2_Judical Effectiveness","EF1_3_Government Integrity","EF2_Government size","EF2_1_Tax Burden","EF2_2_Gov't Spending","EF2_3_Fiscal Health","EF3_Regulatory efficiency","EF3_1_Business Freedom","EF3_2_Labor Freedom","EF3_3_Monetary Freedom","EF4_Market openness","EF4_1_Trade Freedom","EF4_2_Investment Freedom ","EF4_3_Financial Freedom","WHI_1_Ladder score","WHI_11_Log GDP per capita","WHI_12_Social support","WHI_13_Healthy life expectancy","WHI_14_Freedom to make life choices","WHI_15_Generosity","WHI_16_Perceptions of corruption","WHI_17_Dystopia + residual"
"2018","Czech Republic","Europe","74.2","60.7","73.0","57.9","51.1","75.9","82.9","48.6","96.2","78.2","72.5","76.8","85.2","82.3","86.9","80","80","67.1090","12.3347","14.8932","8.5408","5.4264","0.6397","0.3364","24.9380"
"2018","Denmark","Europe","76.6","84.2","84.8","83.6","84.1","49.6","41.4","10.6","96.7","87.2","92.5","82.8","86.4","85.6","86.9","90","80","75.5530","13.5115","15.9045","8.6793","6.8325","2.8439","4.0792","23.7018"
"2018","Estonia","Europe","78.8","80.0","80.4","83.9","75.7","77.7","80.7","52.6","99.8","71.8","75.6","54.8","85.1","85.6","86.9","90","80","57.3920","12.0002","15.3241","7.3727","5.5279","0.8573","1.7387","14.5713"
"2018","Finland","Europe","74.1","87.2","89.0","82.7","89.8","50.0","66.5","2.3","81.1","75.5","89.9","50.5","86.0","84.0","86.9","85","80","76.3210","13.0510","15.9213","8.7445","6.8063","1.9164","3.9296","25.9519"
"2018","France","Europe","63.9","73.9","84.0","72.7","65.1","36.9","47.3","2.7","60.8","68.9","80.2","45.0","81.6","75.6","81.9","75","70","64.8930","12.9279","14.6645","9.0850","5.2031","0.9784","1.7569","20.2775"
"2018","Germany","Europe","74.2","78.1","81.0","78.0","75.3","64.5","61.3","41.3","90.8","75.2","86.1","53.3","86.2","79.0","86.9","80","70","69.6470","13.3962","14.7435","8.6052","5.8615","2.7350","2.7984","21.5076"
"2018","Greece","Europe","57.3","49.7","52.3","59.0","37.9","50.6","60.4","20.9","70.5","69.9","74.4","54.4","81.0","59.0","81.9","55","40","53.5790","11.5380","12.0191","8.7859","1.3093","0.0000","0.4447","19.4816"
"2018","Hungary","Europe","66.7","50.4","57.6","57.1","36.4","63.5","78.6","29.4","82.4","74.0","61.8","68.7","91.6","79.0","86.9","80","70","56.2000","11.7104","14.0132","7.3155","2.5901","0.6071","0.2226","19.7410"
"2018","Iceland","Europe","77.0","78.9","86.7","72.6","77.3","70.2","72.1","44.2","94.3","77.7","89.5","61.8","81.7","81.2","88.5","85","70","74.9520","13.4330","16.4438","9.1380","6.7650","3.5323","1.3802","24.2599"
"2018","Ireland","Europe","80.4","81.9","87.7","79.0","79.0","75.5","76.1","69.6","80.8","81.9","81.8","76.4","87.4","82.3","86.9","90","70","69.7710","14.4758","15.8263","8.7629","6.1397","3.0651","3.0582","18.4430"
"2018","Israel","Middle East / North Africa","72.2","74.2","78.2","83.1","61.2","63.9","60.9","51.8","79.0","74.1","71.8","65.1","85.3","76.8","85.5","75","70","71.9000","12.4382","14.3291","8.8835","4.6405","2.6246","0.8168","28.1673"
"2018","Italy","Europe","62.5","57.4","71.2","60.9","40.1","49.2","55.2","24.1","68.2","69.6","70.3","50.3","88.2","74.0","86.9","85","50","60.0040","12.6414","15.0065","9.4643","2.8102","1.3655","0.2845","18.4312"
"2018","Japan","Asia-Pacific","72.3","79.5","86.0","73.2","79.2","56.9","67.4","54.1","49.3","82.1","81.7","79.2","85.4","70.8","82.3","70","60","59.1500","12.9421","14.6160","9.8790","5.5300","0.7861","1.4967","13.9003"
"2018","Latvia","Europe","73.6","57.5","68.3","58.9","45.4","79.4","84.0","59.0","95.3","80.0","80.1","72.5","87.3","77.3","86.9","85","60","59.3310","11.4800","14.5431","6.7085","3.6294","0.9165","0.6633","21.3899"
"2018","Lithuania","Europe","75.3","63.8","73.8","66.7","50.9","82.3","86.4","63.9","96.7","75.9","73.4","64.5","89.9","79.0","86.9","80","70","59.5190","11.9684","15.2714","7.1553","3.4986","0.2616","0.0636","21.3001"
"2018","Luxembourg","Europe","76.4","79.9","82.7","77.9","79.0","70.9","65.1","48.5","99.0","67.7","69.2","46.2","87.6","87.3","86.9","95","80","69.0990","15.7608","15.2007","8.9618","6.3202","1.9605","3.2099","17.6855"
"2018","Mexico","Americas","64.8","41.5","58.6","39.0","26.9","74.5","75.7","78.1","69.8","68.8","67.5","59.8","79.2","74.3","88.0","75","60","64.8820","10.3823","12.5223","7.6066","4.7918","0.6868","0.9470","27.9451"
"2018","Netherlands","Europe","76.2","82.7","87.9","74.1","86.0","59.9","52.5","39.1","88.2","76.5","80.5","61.5","87.5","85.6","86.9","90","80","74.4130","13.6091","14.8828","8.7771","6.3807","3.3336","2.9459","24.4843"
"2018","New Zealand","Asia-Pacific","84.2","93.1","95.1","88.4","95.7","72.8","70.5","49.5","98.3","88.6","91.5","84.4","90.0","82.5","87.4","80","80","73.2380","12.6802","16.0062","8.7608","6.6887","3.6517","3.8884","21.5617"
"2018","Norway","Europe","74.3","88.7","86.4","86.0","93.6","61.1","56.4","29.2","97.8","73.0","90.4","54.6","73.9","74.3","87.9","75","60","75.9370","14.5563","15.8234","8.6076","6.8642","2.8564","3.3969","23.8324"
"2018","Poland","Europe","68.5","56.4","61.8","56.6","50.9","68.4","75.9","47.8","81.5","72.0","67.2","63.9","85.0","77.3","86.9","75","70","61.2300","11.7554","14.4783","7.8083","5.4573","1.0757","0.6386","20.0166"
"2018","Portugal","Europe","63.4","65.4","69.2","70.1","56.8","45.2","59.8","29.8","46.0","70.9","83.2","44.1","85.3","72.3","86.9","70","60","54.1040","11.8751","14.2947","8.8359","5.6204","0.5491","0.1662","12.7623"
"2018","Slovakia","Europe","65.3","48.4","68.2","38.8","38.2","69.4","78.9","44.3","84.9","66.3","63.9","54.0","81.0","77.3","86.9","75","70","61.7340","12.0989","15.3705","7.7614","3.5352","1.1760","0.1382","21.6540"
"2018","Slovenia","Europe","64.8","62.1","76.6","57.7","52.1","52.1","58.7","31.2","66.3","76.0","79.5","61.3","87.3","69.0","86.9","70","50","59.4760","12.1904","15.0639","8.5621","6.3293","1.5980","0.5095","15.2228"
"2018","South Korea","Asia-Pacific","73.8","64.3","79.4","63.7","49.9","79.7","73.3","68.8","97.0","77.8","90.7","58.7","83.9","73.5","80.4","70","70","58.7490","12.6631","12.0416","9.5465","2.4419","1.7452","0.5144","19.7963"
"2018","Spain","Europe","65.1","62.2","73.1","62.0","51.5","47.0","62.0","42.8","36.1","70.7","66.3","59.0","86.7","80.6","86.9","85","70","63.0990","12.5081","15.3764","9.6488","4.4884","1.4156","0.7382","18.9232"
"2018","Sweden","Europe","76.3","91.2","92.6","88.2","92.9","54.4","43.9","23.2","96.1","75.6","89.3","53.7","83.8","84.0","86.9","85","80","73.1450","13.5544","15.0148","9.1346","6.5940","2.8467","3.8321","22.1686"
"2018","Switzerland","Europe","81.7","83.0","84.2","82.1","82.8","77.3","70.5","65.4","95.9","78.3","75.7","73.9","85.2","88.3","90.0","85","90","74.8730","14.1973","15.4900","9.2708","6.5978","2.5553","3.5668","23.1953"
"2018","Turkey","Europe","65.4","50.4","54.7","54.5","42.0","78.8","74.7","68.1","93.6","61.1","63.3","47.6","72.3","71.2","78.6","75","60","54.8250","11.4834","13.8045","6.8562","3.2428","1.0560","1.0878","17.2944"
"2018","United Kingdom","Europe","78.0","88.3","92.2","93.8","79.0","54.4","65.2","44.4","53.5","83.6","91.1","74.4","85.2","85.6","86.9","90","80","68.1430","13.0131","15.5873","8.8321","5.3267","3.5433","2.7207","19.1201"
"2018","United States","Americas","75.7","76.0","79.3","76.9","71.9","58.8","65.1","56.5","54.8","84.2","82.7","91.4","78.6","83.9","86.7","85","80","68.8600","13.9804","14.7054","8.1896","5.4732","2.9059","1.3343","22.2715"
