"Year","Country Name","Region","EF_2019 Score","EF1_Rule of law","EF1_1_Property Rights","EF1_2_Judical Effectiveness","EF1_3_Government Integrity","EF2_Government size","EF2_1_Tax Burden","EF2_2_Gov't Spending","EF2_3_Fiscal Health","EF3_Regulatory efficiency","EF3_1_Business Freedom","EF3_2_Labor Freedom","EF3_3_Monetary Freedom","EF4_Market openness","EF4_1_Trade Freedom","EF4_2_Investment Freedom ","EF4_3_Financial Freedom","WHI_1_Ladder score","WHI_11_Log GDP per capita","WHI_12_Social support","WHI_13_Healthy life expectancy","WHI_14_Freedom to make life choices","WHI_15_Generosity","WHI_16_Perceptions of corruption","WHI_17_Dystopia + residual"
"2019","Czech Republic","Europe","73.7","58.2","74.8","47.6","52.1","77.4","82.6","52.1","97.6","77.3","72.4","78.1","81.5","82.0","86.0","80","80","68.5210","12.6906","14.8743","9.2019","4.5688","0.4607","0.3649","26.3596"
"2019","Denmark","Europe","76.7","83.3","86.2","77.8","85.8","51.0","42.0","14.4","96.7","87.1","90.7","86.4","84.1","85.3","86.0","90","80","76.0010","13.8344","15.7260","9.9602","5.9236","2.5232","4.1047","23.9289"
"2019","Estonia","Europe","76.6","76.9","81.5","76.0","73.1","76.9","79.9","51.1","99.8","70.7","75.3","57.2","79.6","82.0","86.0","90","70","58.9350","12.3683","15.2783","8.7420","4.9516","1.0305","1.6082","14.9565"
"2019","Finland","Europe","74.9","87.8","89.6","81.2","92.5","53.5","66.8","7.2","86.4","74.8","89.4","50.3","84.8","83.7","86.0","85","80","77.6890","13.4024","15.8728","9.8614","5.9590","1.5271","3.9291","27.1368"
"2019","France","Europe","63.8","72.2","82.5","66.1","67.9","39.1","48.4","3.9","64.9","68.5","81.2","45.2","79.1","75.3","81.0","75","70","65.9210","13.2393","14.7205","10.4541","4.3555","1.1110","1.8319","20.2088"
"2019","Germany","Europe","73.5","78.9","79.9","75.4","81.3","65.0","60.8","42.3","91.8","71.3","83.3","52.8","77.9","78.7","86.0","80","70","69.8500","13.7257","14.5398","9.8696","4.9528","2.6147","2.6498","21.4980"
"2019","Greece","Europe","57.7","46.5","52.4","49.5","37.7","53.8","59.1","23.3","79.0","68.6","74.1","52.5","79.1","62.0","81.0","55","50","52.8670","11.8133","11.5625","9.9931","0.6707","0.0000","0.3442","18.4836"
"2019","Hungary","Europe","65.0","47.1","60.9","45.2","35.3","65.1","78.6","31.7","85.0","69.2","61.1","64.7","81.8","78.7","86.0","80","70","57.5830","12.0109","14.0971","8.2812","1.9940","0.8061","0.1977","20.1963"
"2019","Iceland","Europe","77.1","78.3","87.4","63.8","83.8","71.1","72.7","44.0","96.7","78.1","88.4","64.1","81.7","80.7","87.0","85","70","74.9360","13.8016","16.2365","10.2565","5.9091","3.5436","1.1798","24.0088"
"2019","Ireland","Europe","80.5","77.4","85.8","68.4","78.0","80.9","76.3","77.4","89.0","81.8","83.1","75.3","87.0","82.0","86.0","90","70","70.2110","14.9922","15.5327","9.9931","5.1562","2.9825","3.1024","18.4515"
"2019","Israel","Middle East and North Africa","72.8","73.8","80.0","73.4","67.9","66.5","61.9","52.4","85.3","74.2","71.4","65.1","86.2","76.5","84.4","75","70","71.3870","12.7584","14.5464","10.2897","3.7058","2.6147","0.8212","26.6505"
"2019","Italy","Europe","62.2","55.1","71.7","49.8","43.7","51.1","55.6","26.5","71.3","68.9","71.7","51.1","84.0","73.7","86.0","85","50","62.2340","12.9442","14.8802","10.3883","2.3078","1.5796","0.2986","19.8353"
"2019","Japan","Asia-Pacific","72.1","76.9","84.1","68.5","78.0","59.6","68.2","55.0","55.7","81.8","80.5","79.0","85.9","70.0","80.0","70","60","58.8610","13.2651","14.1860","10.8822","4.4496","0.6885","1.4022","13.9873"
"2019","Latvia","Europe","70.4","50.4","67.3","48.4","35.5","77.0","77.0","57.1","96.9","77.3","77.5","73.3","81.1","77.0","86.0","85","60","59.3970","11.8683","14.6471","8.1161","2.6440","0.7492","0.6386","20.7339"
"2019","Lithuania","Europe","74.2","60.9","73.6","61.2","47.8","82.9","86.4","65.1","97.3","74.5","75.2","63.6","84.6","78.7","86.0","80","70","61.4900","12.3821","15.1527","8.1809","2.9140","0.4264","0.4181","22.0161"
"2019","Luxembourg","Europe","75.9","80.4","83.0","72.4","85.8","70.3","65.4","46.6","98.9","65.8","68.8","45.9","82.6","87.0","86.0","95","80","70.9030","16.0876","14.7881","10.1248","5.2616","1.9430","3.1570","19.5409"
"2019","Mexico","Americas","64.7","40.1","59.1","34.9","26.3","79.1","75.8","78.2","83.2","67.4","67.8","58.6","75.9","72.1","81.4","75","60","65.9450","10.6979","13.2308","8.6111","4.3312","0.7354","0.7271","27.6120"
"2019","Netherlands","Europe","76.8","83.9","88.0","74.7","89.1","62.6","51.6","42.9","93.3","75.2","81.4","60.3","84.0","85.3","86.0","90","80","74.8760","13.9602","15.2190","9.9931","5.5708","3.2244","2.9798","23.9289"
"2019","New Zealand","Asia-Pacific","84.4","91.7","95.0","83.5","96.7","73.3","71.0","50.4","98.6","88.4","91.0","86.7","87.5","84.1","92.4","80","80","73.0750","13.0259","15.5723","10.2564","5.8515","3.2984","3.8028","21.2679"
"2019","Norway","Europe","73.0","86.5","86.1","81.2","92.3","60.0","57.4","25.3","97.3","72.8","89.4","53.7","75.4","72.7","83.2","75","60","75.5390","14.8777","15.8155","10.2812","6.0350","2.7130","3.4088","22.4076"
"2019","Poland","Europe","67.8","52.0","62.3","44.0","49.8","70.0","74.9","48.8","86.4","70.5","65.4","63.9","82.1","78.7","86.0","80","70","61.8170","12.0594","14.3848","8.8407","4.8275","1.1674","0.5049","20.0321"
"2019","Portugal","Europe","65.3","65.1","71.5","64.3","59.5","55.1","59.9","35.6","69.8","69.0","79.7","44.3","83.0","72.0","86.0","70","60","56.9250","12.2073","14.3080","9.9931","5.0811","0.4682","0.2496","14.6172"
"2019","Slovakia","Europe","65.0","47.8","68.5","37.2","37.7","70.6","78.6","46.1","87.2","64.4","61.3","53.4","78.6","77.0","86.0","75","70","61.9760","12.4623","15.0434","8.8075","3.3418","1.2092","0.1404","20.9718"
"2019","Slovenia","Europe","65.5","58.8","76.4","46.5","53.6","59.8","58.4","38.3","82.6","74.7","79.3","61.2","83.6","68.7","86.0","70","50","61.1770","12.5789","15.2315","9.5322","5.6389","1.4428","0.5723","16.1802"
