"Year","Country Name","Region","EF_2017 Score","EF1_Rule of law","EF1_1_Property Rights","EF1_2_Judical Effectiveness","EF1_3_Government Integrity","EF2_Government size","EF2_1_Tax Burden","EF2_2_Gov't Spending","EF2_3_Fiscal Health","EF3_Regulatory efficiency","EF3_1_Business Freedom","EF3_2_Labor Freedom","EF3_3_Monetary Freedom","EF4_Market openness","EF4_1_Trade Freedom","EF4_2_Investment Freedom ","EF4_3_Financial Freedom","WHI_1_Ladder score","WHI_11_Log GDP per capita","WHI_12_Social support","WHI_13_Healthy life expectancy","WHI_14_Freedom to make life choices","WHI_15_Generosity","WHI_16_Perceptions of corruption","WHI_17_Dystopia + residual"
"2017","Czech Republic","Europe","73.3","60.7","70.3","55.9","55.9","73.4","82.9","45.3","92.0","76.9","67.2","77.7","85.8","82.3","87.0","80","80","66.0900","13.5268","14.3389","7.5444","4.9095","0.8811","0.3687","24.5186"
"2017","Denmark","Europe","75.1","80.0","86.7","68.5","84.9","46.1","37.2","5.7","95.4","88.4","93.9","85.8","85.5","85.7","87.0","90","80","75.2200","14.8238","15.5112","7.9257","6.2601","3.5528","4.0077","23.1371"
"2017","Estonia","Europe","79.1","78.4","82.6","82.8","69.9","78.9","81.2","55.8","99.8","73.2","77.0","56.9","85.7","85.7","87.0","90","80","56.1100","13.2088","14.7667","6.9517","4.7913","0.9889","1.8325","13.5751"
"2017","Finland","Europe","74.0","87.8","90.6","82.7","90.0","48.0","66.6","0.0","77.3","76.2","90.2","53.4","85.1","84.0","87.0","85","80","74.6900","14.4357","15.4025","8.0916","6.1795","2.4548","3.8261","24.3018"
"2017","France","Europe","63.3","75.8","85.0","72.7","69.7","35.5","47.6","2.0","57.0","67.9","78.0","44.1","81.6","74.0","82.0","70","70","64.4200","14.3092","13.8778","8.4447","4.7022","1.2976","1.7250","20.0595"
"2017","Germany","Europe","73.8","80.1","82.9","79.5","77.7","64.4","61.9","41.4","89.9","71.8","86.6","42.8","85.9","79.0","87.0","80","70","69.5100","14.8792","14.7252","7.9895","5.6251","3.3627","2.7673","20.1577"
"2017","Greece","Europe","55.0","50.0","52.5","56.1","41.3","41.5","61.1","5.4","58.1","67.8","74.3","51.0","78.2","60.7","82.0","60","40","52.2700","12.8949","12.3941","8.1020","0.9573","0.0000","0.4329","17.4922"
"2017","Hungary","Europe","65.8","51.2","60.1","51.8","41.5","61.3","79.3","25.3","79.3","73.4","64.0","64.4","91.7","77.3","87.0","75","70","53.2400","12.8601","13.4313","6.8776","1.7586","0.7840","0.3664","17.1646"
"2017","Iceland","Europe","74.4","76.0","85.0","71.5","71.5","67.6","70.9","41.1","90.6","78.0","90.2","62.6","81.2","76.0","88.0","80","60","75.0400","14.8063","16.1057","8.3355","6.2716","4.7554","1.5353","23.2272"
"2017","Ireland","Europe","76.7","80.8","85.8","78.3","78.3","63.4","72.7","57.1","60.3","80.5","80.3","73.6","87.6","82.3","87.0","90","70","69.7700","15.3571","15.5823","8.0978","5.7311","4.2786","2.9839","17.7387"
"2017","Israel","Middle East / North Africa","69.7","67.1","71.9","82.0","47.6","61.1","61.0","50.5","71.8","73.0","69.9","64.3","84.9","77.7","88.0","75","70","72.1300","13.7538","13.7629","8.3840","4.0599","3.3008","0.8524","28.0176"
"2017","Italy","Europe","62.5","58.2","74.6","55.4","44.7","48.1","54.9","22.3","66.9","69.8","69.8","52.9","86.9","74.0","87.0","85","50","59.6400","13.9507","14.4492","8.5314","2.5645","1.7279","0.2803","18.1331"
"2017","Japan","Asia-Pacific","69.6","83.1","89.4","73.8","86.1","43.4","68.5","52.3","9.5","80.9","82.3","77.5","83.0","70.9","82.6","70","60","59.2000","14.1692","14.3634","9.1348","5.0563","1.2057","1.6376","13.6322"
"2017","Latvia","Europe","74.8","66.5","72.6","59.7","67.3","79.1","84.7","57.4","95.0","79.4","79.8","72.0","86.5","74.0","87.0","75","60","58.5000","12.6075","14.0471","6.3857","3.2571","1.5307","0.7384","19.9366"
"2017","Lithuania","Europe","75.8","68.4","73.0","62.4","69.7","81.5","86.9","64.1","93.6","77.6","79.1","63.6","90.0","75.7","87.0","70","70","59.0200","13.1458","14.7352","6.2895","2.3423","0.1016","0.1187","22.2844"
"2017","Luxembourg","Europe","75.9","80.4","85.8","77.0","78.3","69.9","64.5","46.0","99.0","66.2","68.6","43.8","86.2","87.3","87.0","95","80","68.6300","17.4194","14.5758","8.4509","5.9663","2.8318","3.1883","16.1951"
"2017","Mexico","Americas","63.6","42.3","58.1","38.7","30.0","72.8","74.9","76.7","66.8","69.1","70.7","57.9","78.8","70.0","80.0","70","60","65.7800","11.5318","12.1086","7.0998","4.1273","1.2099","1.3277","28.3715"
"2017","Netherlands","Europe","75.8","81.0","87.4","69.9","85.7","57.7","53.2","37.0","83.0","78.8","80.2","70.5","85.8","85.7","87.0","90","80","73.7700","15.0394","14.2894","8.1070","5.8538","4.7049","2.8266","22.9480"
"2017","New Zealand","Asia-Pacific","83.7","91.5","96.1","88.5","89.9","71.7","70.8","46.5","97.8","89.4","91.8","86.2","90.1","82.5","87.4","80","80","73.1400","14.0571","15.4820","8.1676","6.1406","5.0001","3.8282","20.4646"
"2017","Norway","Europe","74.0","86.1","86.7","83.3","88.3","64.2","55.6","38.5","98.4","71.4","89.5","48.8","75.8","74.2","87.7","75","60","75.3700","16.1646","15.3352","7.9667","6.3542","3.6201","3.1596","22.7703"
"2017","Poland","Europe","68.3","58.1","60.8","58.0","55.5","66.3","76.0","46.9","76.1","71.3","67.8","61.5","84.7","77.3","87.0","75","70","59.7300","12.9179","14.4571","6.9948","5.2034","1.5847","0.5931","17.9772"
"2017","Portugal","Europe","62.6","67.1","73.3","68.9","59.0","39.0","59.8","25.1","32.1","71.9","86.4","43.4","85.9","72.3","87.0","70","60","51.9500","13.1518","13.6704","7.9584","4.9847","0.9510","0.1587","11.0768"
"2017","Slovakia","Europe","65.7","48.9","69.0","38.0","39.6","69.9","79.7","47.2","82.9","66.8","64.9","54.4","81.1","77.3","87.0","75","70","60.9800","13.2539","15.0506","7.1273","2.9582","1.3654","0.2421","20.9778"
"2017","Slovenia","Europe","59.2","61.3","75.0","55.1","53.6","31.1","58.7","28.6","6.1","75.4","80.6","60.2","85.3","69.0","87.0","70","50","57.5800","13.4121","14.5252","7.9083","5.7258","2.4265","0.4513","13.1332"
"2017","South Korea","Asia-Pacific","74.3","68.4","77.8","59.9","67.3","80.0","73.7","68.9","97.4","77.2","90.6","57.0","84.0","71.5","79.5","65","70","58.3800","14.0168","11.2827","9.0021","2.5792","2.0667","0.6328","18.8038"
"2017","Spain","Europe","63.6","60.8","71.2","53.9","57.2","43.6","62.5","41.4","26.9","69.3","66.9","55.3","85.5","80.7","87.0","85","70","64.0300","13.8440","15.3209","8.8896","4.0878","1.9013","0.7091","19.2776"
"2017","Sweden","Europe","74.9","86.0","88.6","82.2","87.4","53.2","44.4","21.7","93.4","76.4","90.8","53.2","85.3","84.0","87.0","85","80","72.8400","14.9439","14.7816","8.3088","6.1292","3.8540","3.8440","20.9754"
"2017","Switzerland","Europe","81.5","81.6","86.9","77.6","80.3","78.1","70.9","67.5","95.8","77.8","76.8","72.2","84.4","88.3","90.0","85","90","74.9400","15.6498","15.1691","8.5813","6.2007","2.9055","3.6701","22.7672"
"2017","Turkey","Europe","65.2","51.5","61.3","52.5","40.7","76.3","75.5","57.7","95.7","61.7","64.3","48.5","72.2","71.5","79.4","75","60","55.0000","11.9827","13.3775","6.3761","3.0074","0.4669","0.9967","18.7928"
"2017","United Kingdom","Europe","76.4","88.4","93.8","93.0","78.3","49.1","65.1","41.9","40.4","82.6","89.9","72.8","85.0","85.7","87.0","90","80","67.1400","14.4163","14.9646","8.0534","5.0819","4.9277","2.6543","17.0414"
"2017","United States","Americas","75.1","78.2","81.3","75.1","78.1","58.2","65.3","55.9","53.3","85.2","84.4","91.0","80.1","79.0","87.1","80","70","69.9300","15.4626","14.1992","7.7429","5.0574","3.9258","1.3564","22.1811"
