"Year","Country Name","Region","EF_2021 Score","EF1_Rule of law","EF1_1_Property Rights","EF1_2_Judical Effectiveness","EF1_3_Government Integrity","EF2_Government size","EF2_1_Tax Burden","EF2_2_Gov't Spending","EF2_3_Fiscal Health","EF3_Regulatory efficiency","EF3_1_Business Freedom","EF3_2_Labor Freedom","EF3_3_Monetary Freedom","EF4_Market openness","EF4_1_Trade Freedom","EF4_2_Investment Freedom ","EF4_3_Financial Freedom","WHI_1_Ladder score","WHI_11_Log GDP per capita","WHI_12_Social support","WHI_13_Healthy life expectancy","WHI_14_Freedom to make life choices","WHI_15_Generosity","WHI_16_Perceptions of corruption","WHI_17_Dystopia + residual"
"2021","Czech Republic","Europe","73.8","65.8","76.2","56.8","64.4","76.2","79.1","51.4","98.1","75.2","68.8","77.1","79.7","78.0","84.0","70","80","69.6470","13.6982","10.9019","7.0324","5.8002","0.5206","0.4564","31.2374"
"2021","Denmark","Europe","77.8","89.0","86.7","86.9","93.4","55.0","43.7","23.1","98.2","82.4","88.8","73.8","84.5","84.7","84.0","90","80","76.1950","15.0155","11.0801","7.6286","6.8616","2.0761","4.8499","28.6830"
"2021","Estonia","Europe","78.2","83.0","81.8","80.8","86.4","78.3","81.0","54.4","99.6","70.1","72.7","57.8","79.7","81.3","84.0","90","70","61.8880","13.4363","10.7882","6.4004","6.4123","1.1870","2.6319","21.0323"
"2021","Finland","Europe","76.1","90.4","91.9","82.2","97.2","57.9","68.0","14.3","91.4","73.2","85.8","50.5","83.3","83.0","84.0","85","80","78.4210","14.4636","11.0619","7.4082","6.9058","1.2420","4.8052","32.5341"
"2021","France","Europe","65.7","77.2","82.2","69.2","80.1","42.0","50.7","6.3","69.0","67.4","80.2","44.8","77.3","76.3","84.0","75","70","66.8990","14.2144","10.8083","8.0381","5.3554","0.9239","2.3506","25.2078"
"2021","Germany","Europe","72.5","76.7","78.8","69.8","81.5","64.5","60.4","40.3","92.8","70.9","82.4","53.0","77.2","78.0","84.0","80","70","71.5450","14.8037","9.9256","7.5657","6.0041","1.9491","3.0560","28.2403"
"2021","Greece","Europe","60.9","54.2","55.5","53.5","53.6","58.0","59.9","34.2","80.0","68.5","75.8","49.8","80.0","63.0","84.0","55","50","57.2260","12.7293","8.1143","7.5973","2.4339","0.0000","0.7410","25.6098"
"2021","Hungary","Europe","67.2","55.6","65.6","52.4","48.7","67.3","83.6","35.0","83.3","67.8","59.9","64.8","78.8","78.0","84.0","80","70","59.9160","13.0068","10.8337","6.1485","4.5409","0.6652","0.4028","24.3182"
"2021","Iceland","Europe","77.4","83.4","87.0","72.6","90.6","72.1","72.4","46.2","97.6","75.0","83.6","62.0","79.4","78.9","86.8","80","70","75.5390","14.8219","11.7228","7.7232","6.9770","2.9253","1.6994","29.6694"
"2021","Ireland","Europe","81.4","80.1","86.0","72.4","82.0","83.6","76.6","81.1","93.1","80.7","81.5","76.1","84.4","81.3","84.0","90","70","70.8530","16.4448","10.9183","7.5342","6.0551","2.3833","3.6745","23.8430"
"2021","Israel","Middle East and North Africa","73.8","80.1","83.6","79.8","76.8","64.3","60.0","53.8","79.2","74.5","73.9","65.1","84.4","76.4","84.2","75","70","71.5710","13.7633","10.7381","7.8817","5.0898","2.0799","1.1876","30.8301"
"2021","Italy","Europe","64.9","67.2","75.7","62.3","63.7","53.3","58.1","28.9","73.0","67.6","68.1","50.5","84.2","71.3","84.0","80","50","64.8310","13.9315","9.4028","7.9752","3.7863","1.3303","0.4694","27.9357"
"2021","Japan","Asia-Pacific","74.1","81.8","87.8","75.5","82.0","64.4","67.8","57.8","67.5","83.3","85.9","79.0","85.1","66.8","80.4","60","60","59.4050","13.8914","9.4925","8.3847","5.0376","0.1954","1.9225","20.4807"
"2021","Latvia","Europe","72.3","59.4","74.7","55.9","47.7","77.0","76.7","57.6","96.6","76.6","76.5","73.8","79.6","76.3","84.0","85","60","60.3200","12.8550","10.4738","5.8650","4.0497","0.8229","0.8899","25.3635"
"2021","Lithuania","Europe","76.9","74.0","78.9","68.7","74.5","82.9","84.6","66.8","97.2","75.9","73.1","74.4","80.1","74.7","84.0","70","70","62.5540","13.4976","10.6503","6.1189","4.7632","0.5576","0.7252","26.2411"
"2021","Luxembourg","Europe","76.0","85.3","85.7","77.6","92.5","69.5","63.4","46.2","99.0","62.8","66.1","45.9","76.5","86.3","84.0","95","80","73.2440","17.5079","10.0298","7.5972","6.3936","1.6608","3.5261","26.5287"
